epoch,container,cpu_pct,mem_used_mb,mem_pct
1782384232,spark-worker-1,18.65,1504.3,4.66
1782384235,kafka,30.36,1134.6,3.51
1782384235,spark-master,0.25,802.4,2.48
1782384235,spark-worker-1,18.34,1504.3,4.66
1782384238,kafka,119.02,1215.5,3.77
1782384238,spark-master,0.77,802.5,2.48
1782384238,spark-worker-1,19.09,1504.3,4.66
1782384241,kafka,32.66,1134.6,3.51
1782384241,spark-master,0.31,802.5,2.48
1782384241,spark-worker-1,18.63,1504.3,4.66
1782384244,kafka,32.74,1137.7,3.52
1782384244,spark-master,0.29,802.5,2.49
1782384244,spark-worker-1,18.27,1504.3,4.66
1782384247,kafka,33.25,1137.7,3.52
1782384247,spark-master,2.83,802.6,2.49
1782384247,spark-worker-1,17.68,1504.3,4.66
1782384250,kafka,145.11,1292.3,4.00
1782384250,spark-master,0.28,802.6,2.49
1782384250,spark-worker-1,17.12,1504.3,4.66
1782384253,kafka,29.53,1136.6,3.52
1782384253,spark-master,0.21,802.7,2.49
1782384253,spark-worker-1,14.75,1504.3,4.66
1782384256,kafka,148.72,1297.4,4.02
1782384256,spark-master,0.23,802.7,2.49
1782384256,spark-worker-1,17.26,1504.3,4.66
1782384259,kafka,30.16,1136.6,3.52
1782384259,spark-master,0.25,809.4,2.51
1782384259,spark-worker-1,55.29,1508.4,4.67
1782384262,kafka,154.14,1296.4,4.01
1782384262,spark-master,1.63,809.4,2.51
1782384262,spark-worker-1,18.02,1509.4,4.67
1782384265,kafka,34.56,1140.7,3.53
1782384265,spark-master,0.48,809.4,2.51
1782384265,spark-worker-1,14.98,1505.3,4.66
1782384268,kafka,42.17,1150.0,3.56
1782384268,spark-master,2.08,809.4,2.51
1782384268,spark-worker-1,17.21,1505.3,4.66
1782384270,kafka,30.16,1138.7,3.53
1782384270,spark-master,0.31,809.5,2.51
1782384270,spark-worker-1,17.00,1505.3,4.66
1782384273,kafka,61.44,1186.8,3.67
1782384273,spark-master,2.27,809.5,2.51
1782384273,spark-worker-1,17.31,1504.3,4.66
1782384277,kafka,32.82,1140.7,3.53
1782384277,spark-master,0.26,809.5,2.51
1782384277,spark-worker-1,18.33,1505.3,4.66
1782384280,kafka,28.93,1138.7,3.53
1782384280,spark-master,0.32,809.6,2.51
1782384280,spark-worker-1,16.86,1504.3,4.66
1782384283,kafka,35.13,1141.8,3.54
1782384283,spark-master,0.58,809.6,2.51
1782384283,spark-worker-1,17.34,1505.3,4.66
1782384286,kafka,143.17,1280.0,3.96
1782384286,spark-master,0.60,809.7,2.51
1782384286,spark-worker-1,19.04,1505.3,4.66
1782384289,kafka,28.24,1141.8,3.53
1782384289,spark-master,0.26,809.8,2.51
1782384289,spark-worker-1,16.48,1505.3,4.66
1782384292,kafka,150.61,1300.5,4.03
1782384292,spark-master,1.57,809.8,2.51
1782384292,spark-worker-1,18.99,1505.3,4.66
1782384295,kafka,32.20,1141.8,3.54
1782384295,spark-master,0.42,809.8,2.51
1782384295,spark-worker-1,18.62,1505.3,4.66
1782384298,kafka,149.79,1299.5,4.02
1782384298,spark-master,0.88,809.9,2.51
1782384298,spark-worker-1,19.73,1505.3,4.66
1782384301,kafka,34.20,1141.8,3.54
1782384301,spark-master,0.36,809.9,2.51
1782384301,spark-worker-1,19.26,1505.3,4.66
1782384304,kafka,154.47,1141.8,3.53
1782384304,spark-master,0.23,810,2.51
1782384304,spark-worker-1,14.60,1505.3,4.66
1782384307,kafka,28.59,1142.8,3.54
1782384307,spark-master,0.26,810,2.51
1782384307,spark-worker-1,15.32,1505.3,4.66
1782384310,kafka,146.76,1141.8,3.54
1782384310,spark-master,0.26,810.1,2.51
1782384310,spark-worker-1,17.25,1505.3,4.66
1782384313,kafka,31.47,1143.8,3.54
1782384313,spark-master,0.29,810.2,2.51
1782384313,spark-worker-1,15.91,1505.3,4.66
1782384316,kafka,101.12,1143.8,3.54
1782384316,spark-master,0.22,810.2,2.51
1782384316,spark-worker-1,18.50,1505.3,4.66
1782384320,kafka,30.79,1140.7,3.53
1782384320,spark-master,0.23,831.1,2.57
1782384320,spark-worker-1,37.95,1512.4,4.68
1782384323,kafka,56.62,1142.8,3.54
1782384323,spark-master,1.57,823.2,2.55
1782384323,spark-worker-1,16.98,1512.4,4.68
1782384326,kafka,33.35,1144.8,3.55
1782384326,spark-master,0.51,823.2,2.55
1782384326,spark-worker-1,18.00,1512.4,4.68
1782384329,kafka,30.57,1144.8,3.55
1782384329,spark-master,2.00,823.3,2.55
1782384329,spark-worker-1,15.81,1512.4,4.68
1782384332,kafka,34.01,1145.9,3.55
1782384332,spark-master,0.27,823.3,2.55
1782384332,spark-worker-1,19.90,1512.4,4.68
1782384335,kafka,28.22,1144.8,3.55
1782384335,spark-master,0.22,823.3,2.55
1782384335,spark-worker-1,16.42,1512.4,4.68
1782384338,kafka,29.53,1145.9,3.55
1782384338,spark-master,3.30,815.2,2.52
1782384338,spark-worker-1,18.49,1512.4,4.68
1782384341,kafka,33.79,1145.9,3.55
1782384341,spark-master,0.30,815.2,2.52
1782384341,spark-worker-1,20.19,1512.4,4.68
1782384344,kafka,32.79,1146.9,3.55
1782384344,spark-master,0.28,815.2,2.52
1782384344,spark-worker-1,19.69,1512.4,4.68
1782384347,kafka,137.89,1146.9,3.55
1782384347,spark-master,0.19,815.2,2.52
1782384347,spark-worker-1,16.90,1512.4,4.68
1782384350,kafka,33.04,1147.9,3.56
1782384350,spark-master,0.23,815.3,2.52
1782384350,spark-worker-1,16.79,1512.4,4.68
1782384353,kafka,119.62,1148.9,3.56
1782384353,spark-master,2.34,815.3,2.52
1782384353,spark-worker-1,18.51,1512.4,4.68
1782384356,kafka,31.18,1148.9,3.56
1782384356,spark-master,0.27,815.3,2.52
1782384356,spark-worker-1,19.29,1512.4,4.68
1782384359,kafka,75.21,1147.9,3.55
1782384359,spark-master,0.24,822,2.55
1782384359,spark-worker-1,19.89,1512.4,4.68
1782384362,kafka,34.20,1150.0,3.56
1782384362,spark-master,1.55,816.8,2.53
1782384362,spark-worker-1,19.23,1512.4,4.68
1782384366,kafka,29.90,1147.9,3.56
1782384366,spark-master,0.55,816.9,2.53
1782384366,spark-worker-1,15.52,1512.4,4.68
1782384369,kafka,29.98,1148.9,3.56
1782384369,spark-master,0.29,821.2,2.54
1782384369,spark-worker-1,18.42,1512.4,4.68
1782384372,kafka,30.64,1150.0,3.56
1782384372,spark-master,0.41,821.2,2.54
1782384372,spark-worker-1,18.78,1512.4,4.68
1782384375,kafka,31.81,1150.0,3.56
1782384375,spark-master,0.28,821.3,2.54
1782384375,spark-worker-1,17.90,1512.4,4.68
1782384378,kafka,32.42,1153.0,3.57
1782384378,spark-master,35.19,823.7,2.55
1782384378,spark-worker-1,17.60,1512.4,4.68
1782384381,kafka,29.25,1157.1,3.58
1782384381,spark-master,0.22,823.7,2.55
1782384381,spark-worker-1,22.99,1515.5,4.69
1782384384,kafka,29.98,1151.0,3.56
1782384384,spark-master,0.25,823.7,2.55
1782384384,spark-worker-1,19.13,1510.4,4.68
1782384387,kafka,39.74,1156.1,3.58
1782384387,spark-master,0.38,823.8,2.55
1782384387,spark-worker-1,21.87,1510.4,4.68
1782384390,kafka,30.54,1152.0,3.57
1782384390,spark-master,0.25,823.9,2.55
1782384390,spark-worker-1,16.59,1509.4,4.68
1782384393,kafka,32.89,1152.0,3.57
1782384393,spark-master,2.00,824,2.55
1782384393,spark-worker-1,18.92,1509.4,4.68
1782384396,kafka,29.49,1151.0,3.56
1782384396,spark-master,0.30,824,2.55
1782384396,spark-worker-1,15.54,1509.4,4.68
1782384399,kafka,102.96,1234.9,3.82
1782384399,spark-master,0.38,824,2.55
1782384399,spark-worker-1,17.76,1509.4,4.68
1782384402,kafka,33.28,1153.0,3.57
1782384402,spark-master,0.47,824,2.55
1782384402,spark-worker-1,18.70,1509.4,4.68
1782384405,kafka,134.19,1265.7,3.92
1782384405,spark-master,0.54,824,2.55
1782384405,spark-worker-1,20.86,1510.4,4.68
1782384408,kafka,28.65,1152.0,3.57
1782384408,spark-master,2.29,824.1,2.55
1782384408,spark-worker-1,21.36,1510.4,4.68
1782384412,kafka,151.33,1309.7,4.06
1782384412,spark-master,0.23,824.1,2.55
1782384412,spark-worker-1,18.78,1510.4,4.68
1782384415,kafka,31.12,1153.0,3.57
1782384415,spark-master,0.27,824.2,2.55
1782384415,spark-worker-1,22.83,1510.4,4.68
