epoch,container,cpu_pct,mem_used_mb,mem_pct
1782383870,flink-jobmanager,0.88,1247.2,3.86
1782383870,flink-taskmanager,22.08,1649.7,5.11
1782383873,kafka,80.97,1089.5,3.37
1782383873,flink-jobmanager,1.20,1247.2,3.86
1782383873,flink-taskmanager,21.37,1649.7,5.11
1782383876,kafka,32.90,1089.5,3.37
1782383876,flink-jobmanager,1.50,1247.2,3.86
1782383876,flink-taskmanager,25.04,1635.3,5.06
1782383879,kafka,53.89,1089.5,3.37
1782383879,flink-jobmanager,1.96,1251.3,3.88
1782383879,flink-taskmanager,19.97,1636.4,5.07
1782383882,kafka,31.75,1094.7,3.39
1782383882,flink-jobmanager,2.60,1248.3,3.86
1782383882,flink-taskmanager,22.50,1635.3,5.06
1782383885,kafka,158.56,1249.3,3.87
1782383885,flink-jobmanager,1.43,1245.2,3.86
1782383885,flink-taskmanager,31.83,1645.6,5.10
1782383888,kafka,32.44,1091.6,3.38
1782383888,flink-jobmanager,1.51,1245.2,3.86
1782383888,flink-taskmanager,21.91,1649.7,5.11
1782383891,kafka,32.52,1091.6,3.38
1782383891,flink-jobmanager,1.98,1245.2,3.86
1782383891,flink-taskmanager,22.74,1648.6,5.11
1782383894,kafka,34.58,1090.6,3.38
1782383894,flink-jobmanager,1.35,1245.2,3.86
1782383894,flink-taskmanager,25.47,1648.6,5.11
1782383897,kafka,32.32,1091.6,3.38
1782383897,flink-jobmanager,1.65,1245.2,3.86
1782383897,flink-taskmanager,21.75,1648.6,5.11
1782383900,kafka,31.01,1091.6,3.38
1782383900,flink-jobmanager,1.66,1243.1,3.85
1782383900,flink-taskmanager,21.30,1649.7,5.11
1782383903,kafka,35.66,1091.6,3.38
1782383903,flink-jobmanager,1.42,1243.1,3.85
1782383903,flink-taskmanager,24.65,1648.6,5.11
1782383907,kafka,30.78,1092.6,3.38
1782383907,flink-jobmanager,2.61,1244.2,3.85
1782383907,flink-taskmanager,19.79,1649.7,5.11
1782383910,kafka,34.57,1093.6,3.39
1782383910,flink-jobmanager,0.85,1251.3,3.88
1782383910,flink-taskmanager,23.07,1648.6,5.11
1782383913,kafka,35.64,1093.6,3.38
1782383913,flink-jobmanager,1.43,1248.3,3.87
1782383913,flink-taskmanager,22.53,1648.6,5.11
1782383916,kafka,33.96,1094.7,3.39
1782383916,flink-jobmanager,4.62,1249.3,3.87
1782383916,flink-taskmanager,21.03,1649.7,5.11
1782383919,kafka,32.51,1093.6,3.39
1782383919,flink-jobmanager,1.63,1249.3,3.87
1782383919,flink-taskmanager,22.86,1633.3,5.06
1782383921,kafka,66.98,1090.6,3.38
1782383921,flink-jobmanager,1.30,1245.2,3.85
1782383921,flink-taskmanager,20.73,1634.3,5.06
1782383924,kafka,34.73,1092.6,3.38
1782383924,flink-jobmanager,0.78,1245.2,3.85
1782383924,flink-taskmanager,26.67,1634.3,5.06
1782383927,kafka,27.86,1093.6,3.39
1782383927,flink-jobmanager,2.20,1267.7,3.93
1782383927,flink-taskmanager,21.03,1634.3,5.06
1782383930,kafka,33.30,1092.6,3.38
1782383930,flink-jobmanager,1.34,1265.7,3.92
1782383930,flink-taskmanager,23.16,1634.3,5.06
1782383933,kafka,28.81,1093.6,3.38
1782383933,flink-jobmanager,0.66,1266.7,3.92
1782383933,flink-taskmanager,23.91,1634.3,5.06
1782383936,kafka,32.83,1094.7,3.39
1782383936,flink-jobmanager,1.10,1269.8,3.93
1782383936,flink-taskmanager,23.32,1634.3,5.06
1782383939,kafka,33.01,1094.7,3.39
1782383939,flink-jobmanager,0.82,1262.6,3.91
1782383939,flink-taskmanager,23.96,1635.3,5.06
1782383942,kafka,36.33,1094.7,3.39
1782383942,flink-jobmanager,2.52,1262.6,3.91
1782383942,flink-taskmanager,25.29,1641.5,5.08
1782383946,kafka,148.44,1094.7,3.39
1782383946,flink-jobmanager,1.25,1262.6,3.91
1782383946,flink-taskmanager,22.95,1640.4,5.08
1782383949,kafka,32.94,1095.7,3.39
1782383949,flink-jobmanager,1.35,1262.6,3.91
1782383949,flink-taskmanager,23.62,1640.4,5.08
1782383952,kafka,35.18,1094.7,3.39
1782383952,flink-jobmanager,2.01,1262.6,3.91
1782383952,flink-taskmanager,23.79,1640.4,5.08
1782383955,kafka,29.63,1095.7,3.39
1782383955,flink-jobmanager,1.04,1262.6,3.91
1782383955,flink-taskmanager,20.73,1641.5,5.08
1782383958,kafka,29.15,1095.7,3.39
1782383958,flink-jobmanager,2.69,1262.6,3.91
1782383958,flink-taskmanager,19.46,1640.4,5.08
1782383961,kafka,37.41,1096.7,3.40
1782383961,flink-jobmanager,1.53,1262.6,3.91
1782383961,flink-taskmanager,25.73,1640.4,5.08
1782383964,kafka,39.22,1095.7,3.39
1782383964,flink-jobmanager,0.85,1262.6,3.91
1782383964,flink-taskmanager,20.27,1640.4,5.08
1782383967,kafka,27.06,1095.7,3.39
1782383967,flink-jobmanager,2.39,1262.6,3.91
1782383967,flink-taskmanager,18.92,1641.5,5.08
1782383970,kafka,33.28,1097.7,3.40
1782383970,flink-jobmanager,0.81,1262.6,3.91
1782383970,flink-taskmanager,22.02,1640.4,5.08
1782383973,kafka,37.11,1097.7,3.40
1782383973,flink-jobmanager,1.34,1262.6,3.91
1782383973,flink-taskmanager,20.89,1640.4,5.08
1782383976,kafka,34.41,1096.7,3.40
1782383976,flink-jobmanager,5.90,1250.3,3.87
1782383976,flink-taskmanager,19.55,1640.4,5.08
1782383979,kafka,28.48,1108.0,3.43
1782383979,flink-jobmanager,1.10,1250.3,3.87
1782383979,flink-taskmanager,20.10,1629.2,5.04
1782383982,kafka,32.02,1108.0,3.43
1782383982,flink-jobmanager,2.73,1251.3,3.87
1782383982,flink-taskmanager,21.58,1629.2,5.04
1782383985,kafka,37.74,1110.0,3.44
1782383985,flink-jobmanager,1.23,1251.3,3.87
1782383985,flink-taskmanager,25.99,1629.2,5.05
1782383989,kafka,32.82,1109.0,3.43
1782383989,flink-jobmanager,1.71,1251.3,3.87
1782383989,flink-taskmanager,22.40,1629.2,5.05
1782383992,kafka,38.41,1114.1,3.45
1782383992,flink-jobmanager,0.86,1251.3,3.87
1782383992,flink-taskmanager,23.61,1629.2,5.04
1782383995,kafka,34.75,1114.1,3.45
1782383995,flink-jobmanager,1.39,1251.3,3.87
1782383995,flink-taskmanager,23.34,1630.2,5.05
1782383998,kafka,57.48,1158.1,3.59
1782383998,flink-jobmanager,1.37,1251.3,3.87
1782383998,flink-taskmanager,23.94,1629.2,5.04
1782384001,kafka,36.94,1117.2,3.46
1782384001,flink-jobmanager,3.18,1247.2,3.86
1782384001,flink-taskmanager,24.64,1630.2,5.05
1782384004,kafka,34.44,1117.2,3.46
1782384004,flink-jobmanager,0.88,1247.2,3.86
1782384004,flink-taskmanager,23.89,1630.2,5.05
1782384007,kafka,40.81,1119.2,3.46
1782384007,flink-jobmanager,1.49,1247.2,3.86
1782384007,flink-taskmanager,26.26,1632.3,5.05
1782384010,kafka,113.64,1211.4,3.75
1782384010,flink-jobmanager,0.75,1246.2,3.86
1782384010,flink-taskmanager,21.45,1631.2,5.05
1782384013,kafka,29.89,1125.4,3.49
1782384013,flink-jobmanager,1.25,1246.2,3.86
1782384013,flink-taskmanager,23.13,1631.2,5.05
1782384016,kafka,153.27,1248.3,3.87
1782384016,flink-jobmanager,0.86,1246.2,3.86
1782384016,flink-taskmanager,26.32,1631.2,5.05
1782384019,kafka,34.68,1118.2,3.46
1782384019,flink-jobmanager,0.73,1252.4,3.88
1782384019,flink-taskmanager,23.16,1631.2,5.05
1782384022,kafka,34.45,1117.2,3.46
1782384022,flink-jobmanager,2.09,1252.4,3.88
1782384022,flink-taskmanager,22.15,1631.2,5.05
1782384025,kafka,36.29,1118.2,3.46
1782384025,flink-jobmanager,2.07,1253.4,3.88
1782384025,flink-taskmanager,27.34,1631.2,5.05
1782384028,kafka,160.01,1274.9,3.95
1782384028,flink-jobmanager,1.05,1253.4,3.88
1782384028,flink-taskmanager,22.46,1631.2,5.05
1782384032,kafka,35.80,1118.2,3.46
1782384032,flink-jobmanager,0.68,1253.4,3.88
1782384032,flink-taskmanager,24.14,1632.3,5.05
1782384035,kafka,156.79,1124.4,3.48
1782384035,flink-jobmanager,1.13,1253.4,3.88
1782384035,flink-taskmanager,24.69,1631.2,5.05
1782384038,kafka,32.67,1124.4,3.48
1782384038,flink-jobmanager,2.28,1254.4,3.88
1782384038,flink-taskmanager,28.96,1632.3,5.05
1782384041,kafka,129.88,1121.3,3.47
1782384041,flink-jobmanager,0.93,1254.4,3.88
1782384041,flink-taskmanager,21.06,1631.2,5.05
1782384044,kafka,35.56,1121.3,3.47
1782384044,flink-jobmanager,0.67,1248.3,3.86
1782384044,flink-taskmanager,22.83,1632.3,5.05
1782384047,kafka,81.76,1121.3,3.47
1782384047,flink-jobmanager,1.05,1248.3,3.86
1782384047,flink-taskmanager,21.28,1631.2,5.05
1782384050,kafka,37.14,1120.3,3.47
1782384050,flink-jobmanager,0.74,1248.3,3.86
1782384050,flink-taskmanager,24.23,1627.1,5.04
1782384053,kafka,132.78,1231.9,3.82
1782384053,flink-jobmanager,2.79,1248.3,3.87
1782384053,flink-taskmanager,22.28,1625.1,5.03
1782384056,kafka,33.18,1122.3,3.47
1782384056,flink-jobmanager,1.85,1248.3,3.87
1782384056,flink-taskmanager,23.14,1627.1,5.04
1782384059,kafka,44.54,1128.4,3.50
1782384059,flink-jobmanager,1.08,1249.3,3.87
1782384059,flink-taskmanager,40.41,1651.7,5.11
