1782296607 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   1367m   2370Mi   
1782296607 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   880m    2364Mi   
1782296607 spark spark-operator-controller-86d6fc858f-kcl26   2m      18Mi     
1782296607 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m      18Mi     
1782296607 flink flink-kubernetes-operator-59c87b6768-vqvvn   2m    706Mi   
1782296607 kafka bench-brokers-0                             2565m   3586Mi   
1782296607 kafka bench-brokers-1                             2348m   3597Mi   
1782296607 kafka bench-brokers-2                             2199m   3590Mi   
1782296607 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296607 kafka latency-consumer-tncwh                      889m    50Mi     
1782296607 kafka producer-0-dvtbj                            364m    10Mi     
1782296607 kafka producer-1-5h7fd                            316m    9Mi      
1782296607 kafka producer-2-5rlgc                            371m    9Mi      
1782296607 kafka producer-3-gnvns                            313m    10Mi     
1782296607 kafka producer-4-nr4gx                            226m    9Mi      
1782296607 kafka producer-5-79h27                            239m    10Mi     
1782296607 kafka producer-6-pj9fd                            362m    9Mi      
1782296607 kafka producer-7-79bcw                            372m    9Mi      
1782296607 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   3m      259Mi    
1782296614 spark rtm-bench-driver                             206m    769Mi    
1782296614 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   682m    2348Mi   
1782296614 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   1465m   2360Mi   
1782296614 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   1367m   2370Mi   
1782296614 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   880m    2364Mi   
1782296614 spark spark-operator-controller-86d6fc858f-kcl26   2m      18Mi     
1782296614 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m      18Mi     
1782296614 flink flink-kubernetes-operator-59c87b6768-vqvvn   2m    706Mi   
1782296614 kafka bench-brokers-0                             2565m   3586Mi   
1782296614 kafka bench-brokers-1                             2348m   3597Mi   
1782296614 kafka bench-brokers-2                             2199m   3590Mi   
1782296614 kafka bench-entity-operator-79f8646f67-x5ctr      3m      231Mi    
1782296614 kafka latency-consumer-tncwh                      889m    50Mi     
1782296614 kafka producer-0-dvtbj                            364m    10Mi     
1782296614 kafka producer-1-5h7fd                            316m    9Mi      
1782296614 kafka producer-2-5rlgc                            371m    9Mi      
1782296614 kafka producer-3-gnvns                            313m    10Mi     
1782296614 kafka producer-4-nr4gx                            226m    9Mi      
1782296614 kafka producer-5-79h27                            239m    10Mi     
1782296614 kafka producer-6-pj9fd                            362m    9Mi      
1782296614 kafka producer-7-79bcw                            372m    9Mi      
1782296614 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   3m      259Mi    
1782296622 spark rtm-bench-driver                             184m   769Mi    
1782296622 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   543m   2360Mi   
1782296622 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   520m   2367Mi   
1782296622 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   552m   2395Mi   
1782296622 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   759m   2375Mi   
1782296622 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296622 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296622 flink flink-kubernetes-operator-59c87b6768-vqvvn   2m    706Mi   
1782296622 kafka bench-brokers-0                             2521m   3640Mi   
1782296622 kafka bench-brokers-1                             2266m   3668Mi   
1782296622 kafka bench-brokers-2                             2149m   3645Mi   
1782296622 kafka bench-entity-operator-79f8646f67-x5ctr      7m      231Mi    
1782296622 kafka latency-consumer-tncwh                      879m    83Mi     
1782296622 kafka producer-0-dvtbj                            355m    10Mi     
1782296622 kafka producer-1-5h7fd                            309m    9Mi      
1782296622 kafka producer-2-5rlgc                            371m    9Mi      
1782296622 kafka producer-3-gnvns                            310m    10Mi     
1782296622 kafka producer-4-nr4gx                            228m    10Mi     
1782296622 kafka producer-5-79h27                            239m    10Mi     
1782296622 kafka producer-6-pj9fd                            357m    10Mi     
1782296622 kafka producer-7-79bcw                            362m    9Mi      
1782296622 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   62m     260Mi    
1782296629 spark rtm-bench-driver                             184m   769Mi    
1782296629 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   543m   2360Mi   
1782296629 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   520m   2367Mi   
1782296629 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   552m   2395Mi   
1782296629 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   759m   2375Mi   
1782296629 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296629 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
1782296629 flink flink-kubernetes-operator-59c87b6768-vqvvn   2m    706Mi   
1782296629 kafka bench-brokers-0                             2521m   3640Mi   
1782296629 kafka bench-brokers-1                             2266m   3668Mi   
1782296629 kafka bench-brokers-2                             2149m   3645Mi   
1782296629 kafka bench-entity-operator-79f8646f67-x5ctr      7m      231Mi    
1782296629 kafka latency-consumer-tncwh                      879m    83Mi     
1782296629 kafka producer-0-dvtbj                            355m    10Mi     
1782296629 kafka producer-1-5h7fd                            309m    9Mi      
1782296629 kafka producer-2-5rlgc                            371m    9Mi      
1782296629 kafka producer-3-gnvns                            310m    10Mi     
1782296629 kafka producer-4-nr4gx                            228m    10Mi     
1782296629 kafka producer-5-79h27                            239m    10Mi     
1782296629 kafka producer-6-pj9fd                            357m    10Mi     
1782296629 kafka producer-7-79bcw                            362m    9Mi      
1782296629 kafka strimzi-cluster-operator-57bc7c97d9-q7ggr   62m     260Mi    
1782296636 spark rtm-bench-driver                             126m   778Mi    
1782296636 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-1   498m   2370Mi   
1782296636 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-2   495m   2383Mi   
1782296636 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-3   561m   2406Mi   
1782296636 spark rtm-bench-java-rtm-634bd99ef926c8ed-exec-4   732m   2395Mi   
1782296636 spark spark-operator-controller-86d6fc858f-kcl26   1m     18Mi     
1782296636 spark spark-operator-webhook-7fbc7884c4-hfgsh      2m     18Mi     
