1782322721 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322721 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    766Mi   
1782322731 spark rtm-bench-driver                             9m     691Mi    
1782322731 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        667m   2357Mi   
1782322731 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        567m   2332Mi   
1782322731 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        587m   2319Mi   
1782322731 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        999m   2340Mi   
1782322731 spark spark-operator-controller-86d6fc858f-tgr57   2m     16Mi     
1782322731 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322731 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    766Mi   
1782322740 spark rtm-bench-driver                             9m     691Mi    
1782322740 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        667m   2357Mi   
1782322740 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        567m   2332Mi   
1782322740 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        587m   2319Mi   
1782322740 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        999m   2340Mi   
1782322740 spark spark-operator-controller-86d6fc858f-tgr57   2m     16Mi     
1782322740 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322740 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    766Mi   
1782322750 spark rtm-bench-driver                             167m    715Mi    
1782322750 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        598m    2356Mi   
1782322750 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        622m    2346Mi   
1782322750 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        587m    2324Mi   
1782322750 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        1400m   2359Mi   
1782322750 spark spark-operator-controller-86d6fc858f-tgr57   1m      16Mi     
1782322750 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322750 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    766Mi   
1782322760 spark rtm-bench-driver                             167m    715Mi    
1782322760 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        598m    2356Mi   
1782322760 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        622m    2346Mi   
1782322760 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        587m    2324Mi   
1782322760 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        1400m   2359Mi   
1782322760 spark spark-operator-controller-86d6fc858f-tgr57   1m      16Mi     
1782322760 spark spark-operator-webhook-7fbc7884c4-2b778      2m      19Mi     
1782322760 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    766Mi   
1782322769 spark rtm-bench-driver                             17m    715Mi    
1782322769 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        587m   2356Mi   
1782322769 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        557m   2346Mi   
1782322769 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        575m   2324Mi   
1782322769 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        970m   2359Mi   
1782322769 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322769 spark spark-operator-webhook-7fbc7884c4-2b778      3m     19Mi     
1782322769 flink flink-kubernetes-operator-59c87b6768-7drwl   2m    766Mi   
1782322779 spark rtm-bench-driver                             9m     716Mi    
1782322779 spark rtm-bench-rtm-c5b1c39efab472d1-exec-1        608m   2356Mi   
1782322779 spark rtm-bench-rtm-c5b1c39efab472d1-exec-2        574m   2346Mi   
1782322779 spark rtm-bench-rtm-c5b1c39efab472d1-exec-3        583m   2324Mi   
1782322779 spark rtm-bench-rtm-c5b1c39efab472d1-exec-4        988m   2359Mi   
1782322779 spark spark-operator-controller-86d6fc858f-tgr57   1m     16Mi     
1782322779 spark spark-operator-webhook-7fbc7884c4-2b778      2m     19Mi     
1782322779 flink flink-kubernetes-operator-59c87b6768-7drwl   4m    759Mi   
1782322791 spark rtm-bench-driver                             9m     716Mi    
